"Date","DEPTH","TEMPERATURE","OXYGEN"
1990-07-04,3,22.5,9.2
1990-07-04,4,22.2,9.2
1990-07-04,5,22.1,9.1
1990-07-04,6,21,8.7
1990-07-04,7,19.5,8.4
1990-07-04,8,16.8,7.4
1990-07-04,9,16,7.2
1990-07-27,0,25,8.4
1990-07-27,1,25,8.4
1990-07-27,10,15.9,4.4
1990-07-27,11,14.8,4.2
1990-07-27,12,14,4
1990-07-27,13,13.3,4
1990-07-27,14,12.8,3.8
1990-07-27,15,12.2,3.6
1990-07-27,17,12,3.2
1990-07-27,19,11.5,0.9
1990-07-27,2,24,8.5
1990-07-27,3,23.5,8.4
1990-07-27,4,23.4,8.6
1990-07-27,5,23.1,8.6
1990-07-27,6,23,8.7
1990-07-27,7,21,7.4
1990-07-27,8,18.8,5.4
1990-07-27,9,16.2,4.8
1990-08-12,0,26,9
1990-08-12,1,26,9
1990-08-12,10,16,3
1990-08-12,11,14.5,3
1990-08-12,12,14,3
1990-08-12,13,13.5,3
1990-08-12,14,12.8,2.8
1990-08-12,15,12.5,2.2
1990-08-12,17,12,2.2
1990-08-12,19,12,0.4
1990-08-12,2,24.9,9.2
1990-08-12,22,12,0.2
1990-08-12,3,24.5,9.2
1990-08-12,4,24.2,9
1990-08-12,5,24.2,9
1990-08-12,6,24,8.9
1990-08-12,7,22.5,7.6
1990-08-12,8,20.1,5.6
1990-08-12,9,16.5,4
1990-08-27,1,25.1,8.4
1990-08-27,10,16.5,1.6
1990-08-27,11,15,1.2
1990-08-27,12,14.4,1.4
1990-08-27,13,13.2,1.4
1990-08-27,14,12.9,0.7
1990-08-27,15,12.3,0.8
1990-08-27,17,12,0.4
1990-08-27,19,11.9,0.1
1990-08-27,2,24.8,8.4
1990-08-27,20,11.5,0
1990-08-27,3,24,8.4
1990-08-27,4,24,8.4
1990-08-27,5,23.9,8.2
1990-08-27,6,23.5,8.2
1990-08-27,7,23,7.7
1990-08-27,8,22,5.9
1990-08-27,9,19.8,3.1
1990-09-28,0,17.3,9.6
1990-09-28,1,17.5,9.6
1990-09-28,10,17,9.2
1990-09-28,11,16.7,9
1990-09-28,12,16.5,8.4
1990-09-28,13,16.4,7.8
1990-09-28,14,13.5,1
1990-09-28,15,12.5,0.5
1990-09-28,17,12.3,0.4
1990-09-28,19,12.2,0.3
1990-09-28,2,17.5,9.6
1990-09-28,21,12,0.1
1990-09-28,3,17.1,9.6
1990-09-28,4,17.1,9.6
1990-09-28,5,17,9.4
1990-09-28,6,17,9.4
1990-09-28,7,17,9.4
1990-09-28,8,17,9.4
1990-09-28,9,17,9.4
1991-07-17,0,22.9,9.8
1991-07-17,1,22.8,9.8
1991-07-17,10,15,5.4
1991-07-17,11,13.5,5
1991-07-17,12,12.5,4.9
1991-07-17,13,11.5,5
1991-07-17,14,11,4.9
1991-07-17,15,10.4,4.8
1991-07-17,17,10,4.5
1991-07-17,19,10,4.2
1991-07-17,2,22,9.8
1991-07-17,21,9.9,0.2
1991-07-17,3,22,9.8
1991-07-17,4,22,9.8
1991-07-17,5,22,9.8
1991-07-17,6,20.5,9.6
1991-07-17,7,20,9.5
1991-07-17,8,18.8,8.6
1991-07-17,9,17,6.8
1991-08-08,1,23.9,8
1991-08-08,10,16,2.9
1991-08-08,11,14,2.7
1991-08-08,12,13,2.4
1991-08-08,13,12,2.6
1991-08-08,14,11.9,2.6
1991-08-08,15,10.9,2.5
1991-08-08,17,10.5,2.2
1991-08-08,19,10.2,2
1991-08-08,2,23.1,8
1991-08-08,21,10,0.2
1991-08-08,3,23,8
1991-08-08,4,23,8
1991-08-08,5,23,8
1991-08-08,6,22.8,7.8
1991-08-08,7,21.9,6.8
1991-08-08,8,21,6.6
1991-08-08,9,17.5,3.4
1991-09-03,0,21.1,8.9
1991-09-03,1,21,9
1991-09-03,10,20,6.9
1991-09-03,11,18.2,4.4
1991-09-03,12,16,2.5
1991-09-03,13,14,1.8
1991-09-03,14,12.5,1.4
1991-09-03,15,11.5,1.4
1991-09-03,17,11,0.8
1991-09-03,19,11,0.8
1991-09-03,2,21,9
1991-09-03,21,11,0.4
1991-09-03,22,11,0.4
1991-09-03,23,11,0.4
1991-09-03,3,21,9.2
1991-09-03,4,21,9.1
1991-09-03,5,21,9.2
1991-09-03,6,21,9
1991-09-03,7,20.8,9
1991-09-03,8,20.6,8.4
1991-09-03,9,20.5,8.2
1992-07-21,0,23,8.5
1992-07-21,1,23,8.6
1992-07-21,10,16,5.5
1992-07-21,11,15,5.2
1992-07-21,12,13,5.2
1992-07-21,13,12,5
1992-07-21,14,11.5,4.8
1992-07-21,15,10.5,4.2
1992-07-21,17,10.5,3.8
1992-07-21,19,10.1,0.8
1992-07-21,2,23,8.6
1992-07-21,20,10.1,0.5
1992-07-21,21,10.1,0.4
1992-07-21,22,10.1,0.4
1992-07-21,3,23,8.6
1992-07-21,4,23,8.6
1992-07-21,5,21,8.4
1992-07-21,6,21,8.4
1992-07-21,7,20.2,8.2
1992-07-21,8,19.5,7.4
1992-07-21,9,18.1,7.2
1992-08-22,0,21.2,9.2
1992-08-22,1,21,9.2
1992-08-22,10,19.9,8.8
1992-08-22,11,18.2,4.1
1992-08-22,12,16.5,2.2
1992-08-22,13,14.2,1.4
1992-08-22,14,13.4,1.2
1992-08-22,15,12.2,0.9
1992-08-22,16,11.8,0.6
1992-08-22,17,11.4,0.5
1992-08-22,18,11.3,0.5
1992-08-22,3,20.4,9.2
1992-08-22,5,20.3,9.2
1992-08-22,7,20.1,8.8
1992-08-22,9,19.9,8.8
1992-10-07,0,14.5,9
1992-10-07,1,14.5,8.8
1992-10-07,10,14,8.6
1992-10-07,11,14,8.6
1992-10-07,12,14,8.6
1992-10-07,13,14,8.3
1992-10-07,14,13.7,7.8
1992-10-07,15,13.3,6.8
1992-10-07,16,11.8,0.6
1992-10-07,17,11,0.6
1992-10-07,18,10.5,0.6
1992-10-07,19,10.5,0.6
1992-10-07,2,14,8.8
1992-10-07,20,10.5,0.6
1992-10-07,21,10.5,0.4
1992-10-07,22,10.5,0.4
1992-10-07,23,10.5,0.4
1992-10-07,3,14,8.8
1992-10-07,4,14,8.6
1992-10-07,5,14,8.6
1992-10-07,6,14,8.6
1992-10-07,7,14,8.6
1992-10-07,8,14,8.6
1992-10-07,9,14,8.6
1993-08-23,0,23,8.1
1993-08-23,1,22.5,8.2
1993-08-23,10,20.3,4.2
1993-08-23,11,18.2,1.9
1993-08-23,12,16.9,1.1
1993-08-23,13,16.5,0.8
1993-08-23,14,16.3,0.6
1993-08-23,15,16,0.6
1993-08-23,16,15.4,0.2
1993-08-23,17,15.4,0.2
1993-08-23,19,15.2,0.1
1993-08-23,2,22.3,8.2
1993-08-23,3,22.1,8.1
1993-08-23,4,22,8.1
1993-08-23,5,22,8.1
1993-08-23,6,22,7.9
1993-08-23,7,22,7.9
1993-08-23,8,22,7.9
1993-08-23,9,22,7.8
1994-06-15,0,20,9.1
1994-06-15,1,19.5,9.4
1994-06-15,10,13,8.6
1994-06-15,11,12,8.5
1994-06-15,12,11.8,8.4
1994-06-15,13,11.4,8.4
1994-06-15,14,11,8.4
1994-06-15,15,11,8.4
1994-06-15,16,10.7,8.2
1994-06-15,17,10.7,8.2
1994-06-15,18,10.5,8.1
1994-06-15,19,10.5,8.1
1994-06-15,2,19,9.4
1994-06-15,20,10.2,4.5
1994-06-15,21,10.1,0.4
1994-06-15,3,18.6,9.4
1994-06-15,4,18.3,9.4
1994-06-15,5,18,9.4
1994-06-15,6,18,9.4
1994-06-15,7,16.7,9.3
1994-06-15,8,16,9.1
1994-06-15,9,15,9
1994-07-21,0,26,8.2
1994-07-21,1,26,8.2
1994-07-21,10,18.8,4.4
1994-07-21,11,17,4
1994-07-21,12,16,4
1994-07-21,13,15.1,4
1994-07-21,15,14.3,3.9
1994-07-21,17,14,3.8
1994-07-21,18,13.7,3.4
1994-07-21,3,24.8,8.3
1994-07-21,5,24,8.2
1994-07-21,6,24,8.2
1994-07-21,7,23,7.2
1994-07-21,8,21.5,5.8
1994-07-21,9,20.2,5.2
1994-09-04,0,19.5,7.6
1994-09-04,1,19.5,7.4
1994-09-04,10,19,5.2
1994-09-04,11,14,2.4
1994-09-04,12,14,2.4
1994-09-04,13,12.9,2.6
1994-09-04,14,12,2.4
1994-09-04,15,12,1.6
1994-09-04,16,11.1,1.6
