"MIDAS","Lake","Town.s.","Station","Date","Depth","Total.P","Sample.Type","Qualifier"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-07-07,7,13,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-07-07,9,24,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-07-07,11,130,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-07-22,1,23,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-07-22,3,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-07-22,5,18,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-07-22,7,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-07-22,9,39,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-08-05,3,21,"G","R"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-08-05,3,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-08-05,5,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-08-05,7,23,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-08-05,9,71,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-08-29,11,160,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-06-23,1,26,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-06-23,3,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-06-23,5,19,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-06-23,7,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-06-23,9,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-06-23,11,46,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-07-03,1,33,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-07-03,3,28,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-07-03,5,27,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-07-03,7,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-07-21,3,22,"G","R"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-07-21,3,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-07-21,5,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-07-21,7,23,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-07-21,9,32,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-07-21,11,120,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-08-04,1,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-08-04,3,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-08-04,5,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-08-04,7,17,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-08-14,8,9,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-08-14,10,27,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-08-18,1,23,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-08-18,3,25,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-09-01,1,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-09-01,3,23,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-09-01,5,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-09-01,7,24,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-09-01,9,11,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-09-19,1,31,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-09-19,3,27,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-09-19,5,26,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-09-19,7,25,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-09-19,9,26,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2002-09-19,11,38,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2003-08-18,1,18,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2003-08-18,3,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2003-08-18,5,17,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2003-08-18,7,15,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2003-08-18,8,14,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2003-08-18,10,102,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-05-09,1,29,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-05-09,3,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-05-09,5,27,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-05-09,7,19,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-05-09,9,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-05-18,1,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-05-18,3,18,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-05-18,5,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-05-18,7,19,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-05-18,9,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-05-18,11,27,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-06-03,1,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-06-03,3,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-06-03,5,23,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-06-03,7,25,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-06-03,9,23,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-06-03,11,24,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2004-08-17,11,271,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2007-05-20,0,18,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2007-06-16,0,16,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2007-07-14,0,17,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2007-08-11,0,14,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2007-09-08,0,24,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2008-06-21,0,17,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2008-07-06,0,19,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2008-08-09,0,17,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2008-08-14,11,110,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2008-08-24,0,19,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2008-09-07,0,22,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2009-05-30,0,28,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2009-06-28,0,26,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2009-07-08,10,23,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2009-07-17,0,23,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2009-07-27,11,30,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2009-08-16,0,25,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2009-08-18,11,48,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2009-09-01,9,24,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2009-09-07,0,35,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2010-05-10,0,18,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2010-06-12,0,21,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2010-07-26,0,22,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2011-06-05,0,16,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2011-06-18,0,19,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2011-07-14,0,22,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2011-07-16,0,17,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2011-08-11,9,34,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2011-09-11,0,29,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2012-05-26,0,26,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2012-06-10,0,21,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2012-07-29,0,11,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2012-08-19,0,19,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2012-09-15,0,30,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2013-05-19,0,12,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2013-06-15,0,15,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2013-07-20,0,15,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2013-08-19,0,19,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2013-09-14,0,16,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2014-09-02,7,19,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2014-09-02,11,61,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2015-08-17,10,49,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2015-09-03,10.5,130,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2015-09-16,10.5,50,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2016-09-13,10.5,39,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2019-09-05,10,10,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2020-08-19,7,14,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2020-10-01,10,26,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-02,1,36,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-05-26,1,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-05-26,3,17,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-05-26,5,17,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-05-26,7,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-05-26,9,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-05-26,11,28,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-11,1,23,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-11,3,26,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-11,5,18,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-11,7,17,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-11,9,27,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-11,11,40,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-25,1,17,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-25,3,23,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-25,5,19,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-25,7,18,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-25,9,28,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-06-25,11,39,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-08,1,19,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-08,3,17,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-08,5,16,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-08,7,16,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-08,9,27,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-08,11,79,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-22,1,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-22,1,20,"G","R"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-22,3,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-22,5,19,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-22,7,18,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-22,9,27,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-07-22,11,47,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-03,1,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-03,3,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-03,5,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-03,7,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-03,9,24,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-03,9,23,"G","R"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-03,11,63,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-19,1,27,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-19,3,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-19,5,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-19,7,14,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-19,9,33,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-08-19,11,69,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-03,1,26,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-03,3,25,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-03,5,26,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-03,5,25,"G","R"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-03,7,24,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-03,9,29,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-03,11,120,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-17,1,33,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-17,3,26,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-17,5,26,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-17,7,26,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-17,9,26,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-09-17,11,24,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-02,1,35,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-02,1,36,"G","R"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-02,3,32,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-02,5,31,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-02,7,32,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-02,9,33,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-02,11,41,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-15,1,38,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-15,3,25,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-15,5,25,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-15,7,27,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-15,9,29,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-15,9,28,"G","R"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2021-10-15,11,37,"G","PG"
