LAKE,MIDAS,BASIN,DEPTH,AREA,LAYRVOL,VOL_Z,AREAPCT,VOLPCT,A_Vratio
TOGU,9931,1,14.9,0,0,0,0,0,0
ANNA,9961,1,0,5298304,4996166,29886048,100,100,0.18
ANNA,9961,1,1,4700000,4396587,24889882,88.71,83.28,0.19
ANNA,9961,1,2,4100000,3783861,20493295,77.38,68.57,0.2
ANNA,9961,1,3,3476294,3362512,16709434,65.61,55.91,0.21
ANNA,9961,1,4,3250000,3022207,13346922,61.34,44.66,0.24
ANNA,9961,1,5,2800000,2602615,10324715,52.85,34.55,0.27
ANNA,9961,1,6,2410100,2201865,7722100,45.49,25.84,0.31
ANNA,9961,1,7,2.00E+06,1770227,5520235,37.75,18.47,0.36
ANNA,9961,1,8,1550000,1299827,3750008,29.25,12.55,0.41
ANNA,9961,1,9,1064792,929247,2450181,20.1,8.2,0.43
ANNA,9961,1,10,8.00E+05,633226,1520934,15.1,5.09,0.53
ANNA,9961,1,11,480000,375052,887708,9.06,2.97,0.54
ANNA,9961,1,12,279124,254166,512656,5.27,1.72,0.54
ANNA,9961,1,13,230000,204490,258490,4.34,0.86,0.89
ANNA,9961,1,14,180000,54000,54000,3.4,0.18,3.33
ANNA,9961,1,14.9,0,0,0,0,0,0
