"","Year","Apr","May","Jun","Jul","Aug","Sep","Oct","dat4a.YD"
"Year",1,0.292715415294809,0.341289004937669,0.0208140595032247,0.225456790868252,0.347534546031881,0.560592599506837,0.316150014335641,-0.335758594723163
"Apr",0.292715415294809,1,0.22333662831469,-0.0155822674147722,0.0716276005653409,-0.0880440180085709,0.171978773470505,0.0369565066555317,-0.687497650291893
"May",0.341289004937669,0.22333662831469,1,-0.164404523891213,0.178986923881413,0.151150760306777,0.176404221440433,0.0126613262360517,-0.215829749599556
"Jun",0.0208140595032247,-0.0155822674147722,-0.164404523891213,1,0.325101067011908,-0.00119538112205755,0.0765831613525839,0.185871127197499,-0.00499576641556383
"Jul",0.225456790868252,0.0716276005653409,0.178986923881413,0.325101067011908,1,0.0706560889958792,0.197879998161658,0.253303831369518,-0.198897793160338
"Aug",0.347534546031881,-0.0880440180085709,0.151150760306777,-0.00119538112205755,0.0706560889958792,1,0.256734114610167,-0.0179043026310065,-0.0910633780567342
"Sep",0.560592599506837,0.171978773470505,0.176404221440433,0.0765831613525839,0.197879998161658,0.256734114610167,1,0.300773554577828,-0.124393371931189
"Oct",0.316150014335641,0.0369565066555317,0.0126613262360517,0.185871127197499,0.253303831369518,-0.0179043026310065,0.300773554577828,1,0.0293561271464051
"dat4a.YD",-0.335758594723163,-0.687497650291893,-0.215829749599556,-0.00499576641556383,-0.198897793160338,-0.0910633780567342,-0.124393371931189,0.0293561271464051,1
