"","Year","Apr","May","Jun","Jul","Aug","Sep","Oct"
"Year",1,0.297213946380576,0.249565244975022,0.336981703762669,0.337193995472414,0.472154730081003,0.335787012870001,0.183603481335835
"Apr",0.297213946380576,1,0.189341275132849,0.148262549023595,0.254166222422762,0.116353411233531,0.228413580602178,0.0580987438457661
"May",0.249565244975022,0.189341275132849,1,0.145072146376367,0.225561186647024,0.116657954412635,0.20018201223256,-0.00965762007602322
"Jun",0.336981703762669,0.148262549023595,0.145072146376367,1,0.263901799569086,0.223119467714322,0.197775061065083,0.134902195332491
"Jul",0.337193995472414,0.254166222422762,0.225561186647024,0.263901799569086,1,0.39450421559406,0.15604266908587,0.229794861964637
"Aug",0.472154730081003,0.116353411233531,0.116657954412635,0.223119467714322,0.39450421559406,1,0.253363795110983,0.113843636507084
"Sep",0.335787012870001,0.228413580602178,0.20018201223256,0.197775061065083,0.15604266908587,0.253363795110983,1,0.232994430311382
"Oct",0.183603481335835,0.0580987438457661,-0.00965762007602322,0.134902195332491,0.229794861964637,0.113843636507084,0.232994430311382,1
