"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
2007,5780,"Long Lake, Bridgton","","","04/23/2007","","Maine Lake Charts Inc.","",""
2008,5780,"Long Lake, Bridgton","","","04/24/2008","Colin","Holme","",""
2009,5780,"Long Lake, Bridgton","","","04/13/2009","Colin","Holme","",""
2009,5780,"Long Lake, Bridgton","","","04/15/2009","","Maine Lake Charts Inc.","",""
2010,5780,"Long Lake, Bridgton","","","03/20/2010","Colin","Holme","",""
2011,5780,"Long Lake, Bridgton","","","04/19/2011","Colin","Holme","",""
2012,5780,"Long Lake, Bridgton","","","03/23/2012","Colin","Holme","",""
2016,5780,"Long Lake, Bridgton","","","03/18/2016","Chheryl","Kimball","",""
2017,5780,"Long Lake, Bridgton","","","04/19/2017","Barbara","Yates","",""
2017,5780,"Long Lake, Bridgton","","","04/21/2017","Matt","Frank","",""
