"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1970,12,"Porter Lake, Strong","","","05/05/1970","Jean","Ferrari","",""
1970,12,"Porter Lake, Strong","","","05/05/1970","Jean","Ferrari","",""
1971,12,"Porter Lake, Strong","","","05/04/1971","Jean","Ferrari","",""
1971,12,"Porter Lake, Strong","","","05/04/1971","Jean","Ferrari","",""
1972,12,"Porter Lake, Strong","","","05/14/1972","Jean","Ferrari","",""
1972,12,"Porter Lake, Strong","","","05/14/1972","Jean","Ferrari","",""
1973,12,"Porter Lake, Strong","","","04/25/1973","Jean","Ferrari","",""
1973,12,"Porter Lake, Strong","","","04/25/1973","Jean","Ferrari","",""
1974,12,"Porter Lake, Strong","","","04/30/1974","Jean","Ferrari","",""
1974,12,"Porter Lake, Strong","","","04/30/1974","Jean","Ferrari","",""
1975,12,"Porter Lake, Strong","","","05/04/1975","Jean","Ferrari","",""
1975,12,"Porter Lake, Strong","","","05/04/1975","Jean","Ferrari","",""
1976,12,"Porter Lake, Strong","","","04/20/1976","Jean","Ferrari","",""
1976,12,"Porter Lake, Strong","","","04/20/1976","Jean","Ferrari","",""
1978,12,"Porter Lake, Strong","","","05/07/1978","Jean","Ferrari","",""
1978,12,"Porter Lake, Strong","","","05/07/1978","Jean","Ferrari","",""
1979,12,"Porter Lake, Strong","","","04/27/1979","Jean","Ferrari","",""
1979,12,"Porter Lake, Strong","","","04/27/1979","Jean","Ferrari","",""
1980,12,"Porter Lake, Strong","","","04/19/1980","Jean","Ferrari","",""
1980,12,"Porter Lake, Strong","","","04/19/1980","Jean","Ferrari","",""
1981,12,"Porter Lake, Strong","","","04/09/1981","Jean","Ferrari","",""
1981,12,"Porter Lake, Strong","","","04/09/1981","Jean","Ferrari","",""
1982,12,"Porter Lake, Strong","","","05/02/1982","Jean","Ferrari","",""
1982,12,"Porter Lake, Strong","","","05/02/1982","Jean","Ferrari","",""
1983,12,"Porter Lake, Strong","","","04/19/1983","Jean","Ferrari","",""
1983,12,"Porter Lake, Strong","","","04/19/1983","Jean","Ferrari","",""
1984,12,"Porter Lake, Strong","","","04/27/1984","Jean","Ferrari","",""
1984,12,"Porter Lake, Strong","","","04/27/1984","Jean","Ferrari","",""
